subject_id	event_id	text	start_time	end_time	duration	topic	category	n_sentences	source_file	source_granularity	rating_source	emotional_intensity	joy	sadness	fear	anger	disgust	surprise	anxiety	vision	audition	olfaction	gustation	somatosensation	interoception
sub-127	1	Today, I was thinking about the desert with this image and how I was going to live in Kuwait a few years ago, when I was engaged.	3.979999999999999	19.45	15.47	middle east	2	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
sub-127	2	So, it just reminded me how my life would have been in the Middle East.	20.82	25.54	4.719999999999999	middle east	3	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-127	3	Then as he said, he's my friend here and he was born in Oman. As much as I disassociate the Middle East with my new life, it's interesting to see how it still loops.	27.24	44.64	17.400000000000002	middle east	4	2	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-127	4	I've made some really good friends while I've been here,	46.07000000000001	48.57000000000001	2.5	making friends	3	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-127	5	and it's just so fabulous at the school.	50.23999999999999	53.22	2.980000000000011	school	4	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-127	6	When I think about my mom back in Oregon, it's hard to see her being sad about me being here. You know, she has black hair, she's getting a little older in life.	54.63	72.19	17.559999999999995	mom	4	2	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	-1.0	2.0	1.5	1.0	1.0	1.0	1.0	1.5	2.0	1.0	1.0	1.0	1.0	1.0
sub-127	7	And I can just feel right now, the breeze of the room going through my body,	73.08	79.87	6.790000000000006	temperature	1	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
sub-127	8	and I wonder if it's really that cold outside or if it's just this room.	79.93	87.22	7.289999999999992	temperature	4	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
sub-127	9	It's been a while since I've been in an MRI machine, probably like five, six years.	89.4	96.1	6.699999999999989	mri machine	2	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-127	10	You know, back then, I lived in Seattle and it was a really pretty city with a lot of lights.	98.39	105.19	6.799999999999997	seattle	2	1	data/transcripts_and_timestamps/sentence_level/sub-127_transcripts.xlsx	thought	gpt_generated	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
