subject_id	event_id	text	start_time	end_time	duration	topic	category	n_sentences	source_file	source_granularity	rating_source	emotional_intensity	joy	sadness	fear	anger	disgust	surprise	anxiety	vision	audition	olfaction	gustation	somatosensation	interoception
sub-040	1	"It's kind of weird how it's just like the words are written backwards because I feel like it should be okay to just 
somehow invert them, so that, that they're the right way round in the mirror, 'cause it's actually really funny to read. Also, I just realized that like the two fuzzy things on the side of the thingy, one of them is black and one of them is 
white which I did not realize, which is kind of cool."	1.479999999999999	27.99	26.509999999999998	mri setup	1	2	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	1.5	2.5	1.0	1.0	1.0	1.0	2.0	1.0	2.5	1.0	1.0	1.0	1.5	1.0
sub-040	2	"It remind me of like, you know, when you're doing like laundry and you have to go in the dryer and like one of the little 
fuzz... Or like a random like coarse brush or something."	28.48	41.35	12.870000000000001	fuzz	2	1	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0
sub-040	3	"This whole setup is kind of weird. It took me forever to like realize that the thing was just like behind me and it wasn't like somehow approaching from the
ceiling so that's cool. Also there's these random purple things on the mirror. I don't really know how they got there. It's almost like somebody did some spray-painting near the mirror. At least I think they're purple. They look kind of purple-ish."	44.39	73.97999999999999	29.58999999999999	mri setup	1	7	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.0	1.2857142857142858	1.0	1.1428571428571428	1.0	1.0	1.8571428571428572	1.4285714285714286	2.142857142857143	1.0	1.0	1.0	1.0	1.0
sub-040	4	I have purple nail polish.	76.05	77.6	1.5499999999999972	nails	3	1	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-040	5	"I was considering like painting my nails the other day but I really wanted to do like false nails but I don't have any glue 
'cause the glue I had got dried up."	78.17	88.77	10.599999999999994	nails	2	1	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-040	6	"Also, I shouldn't do false nails if I wanna do climbing because that makes it really hard to like do crimps and stuff and it's 
also really easy for the nails to come off."	89.69999999999999	102.52	12.820000000000007	nails	3	1	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
sub-040	7	So that has happened before and it hurts, so that's not fun.	102.84	107.72	4.8799999999999955	nails	2	1	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	-2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0
sub-040	8	Um, I see the red tape. That's cool. I keep thinking of like the little like round bulbs on the side. They remind me of either like Wall-E or like, um, you know, just random security camera. I feel like this could easily be a scene in like a spy movie or a space movie for that matter.	110.35	136.29	25.939999999999998	mri setup	1	5	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.4	1.4	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-040	9	"But yeah, like for the... One of the classes I wanted to take, it was US colonialism and science fiction and I'm actually really 
into science fiction. Um, and in it we get to watch a bunch of movies. Not a bunch but like two."	137.25	154.14	16.889999999999986	scifi class	3	3	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	0.6666666666666666	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-040	10	"And one of them is like Avatar, so I'm kind of thinking it would be a good idea to have a viewing party to watch the first 
Avatar movie before the second Avatar movie comes out again. Cause I'm actually really looking forward to that and hopefully I can like get a group of people together."	156.02	173.91	17.889999999999986	avatar	5	2	data/transcripts_and_timestamps/sentence_level/sub-040_transcripts.xlsx	thought	gpt_generated	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
