subject_id	event_id	text	start_time	end_time	duration	topic	category	n_sentences	source_file	source_granularity	rating_source	emotional_intensity	joy	sadness	fear	anger	disgust	surprise	anxiety	vision	audition	olfaction	gustation	somatosensation	interoception
sub-122	1	Okay. So, I guess I'm going to think about whatever I need to say. It's pretty cool. I'm thinking about the experiment and what it's going to show.	4.799999999999997	14.22	9.420000000000003	thinkaloud	1	3	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.3333333333333333	1.3333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	2	Interested in seeing what my brain looks like.	15.14	18.3	3.16	brain	5	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
sub-122	3	And interested in seeing how this all works… …and the experimental design.	19.74	24.42	4.680000000000003	experiment	1	2	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.5	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	1.0
sub-122	4	After this, I'm thinking that I have to go home.	26.12	28.48	2.3599999999999994	home	5	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	5	I'm actually moving tomorrow, so I have to pack.	29.16	32.92	3.7600000000000016	moving	5	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	6	I have to make sure I'm getting a few boxes ready.	33.16	35.28	2.1200000000000045	moving	3	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	7	I actually don't know if I have enough boxes, so I might have to go to Home Depot first.	37.5	41.90000000000001	4.400000000000013	boxes	5	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	8	It's possible that the movers are going to be coming first thing tomorrow.	42.73999999999999	47.82000000000001	5.08000000000002	moving	5	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	9	So, I have to make sure that when I'm packing, I'm packing everything that I need to before they come.	48.98	56.09999999999999	7.11999999999999	packing	3	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sub-122	10	Just going through all the rooms in the house.	57.8	59.97	2.1700000000000017	rooms	6	1	data/transcripts_and_timestamps/sentence_level/sub-122_transcripts.xlsx	thought	gpt_generated	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
